xmin,ymin,xmax,ymax,id,conf,class
330.0152,145.80466,529.25793,528.6373,2.0,0.61758935,0.0
1041.5961,476.04907,1385.183,1068.6722,3.0,0.7977815,0.0
100.80912,266.41977,297.45917,642.14923,9.0,0.4818638,0.0
1444.2369,673.3564,1813.2423,1069.3689,15.0,0.5925309,0.0
1268.0898,166.26526,1457.7992,634.28485,1.0,0.79163355,0.0
516.7151,39.959297,618.94104,330.9026,17.0,0.5902055,0.0
1100.5751,93.68224,1238.6318,379.272,16.0,0.46424192,0.0
1289.3121,626.07324,1406.1487,890.93494,18.0,0.7137776,26.0
