xmin,ymin,xmax,ymax,id,conf,class
329.40686,170.7671,514.14856,477.89297,2.0,0.23603937,0.0
1084.8267,384.39285,1400.1434,975.29297,3.0,0.82985306,0.0
48.86894,261.87164,284.36765,687.71136,9.0,0.19075888,0.0
1177.4585,747.1546,1541.4275,1073.6488,15.0,0.6880336,0.0
1225.4104,207.3721,1386.7942,493.89868,1.0,0.58947104,0.0
511.06476,37.382225,616.40894,331.77606,17.0,0.72720677,0.0
1120.0562,102.14564,1235.2775,349.73126,16.0,0.12533924,0.0
1310.9725,525.1623,1407.09,773.95685,18.0,0.5144272,26.0
