xmin,ymin,xmax,ymax,id,conf,class
316.45032,162.4132,524.44507,524.08734,2.0,0.32994923,0.0
1137.7637,343.78018,1410.2861,908.80206,3.0,0.78670686,0.0
31.226831,261.3362,271.6618,699.70233,9.0,0.18241905,0.0
1028.7913,858.0302,1366.5529,1074.7161,15.0,0.7281797,0.0
511.08167,40.066525,615.82855,329.91043,17.0,0.7485419,0.0
1113.1404,96.61059,1238.0979,319.56992,16.0,0.107168145,0.0
1300.2991,466.64252,1390.1918,730.6792,18.0,0.5020127,26.0
1233.107,192.92624,1329.1097,355.08835,1.0,0.4859353,0.0
