xmin,ymin,xmax,ymax,id,conf,class
323.8959,142.77202,528.4028,528.1941,2.0,0.66513366,0.0
1039.4845,507.5624,1372.7198,1068.1063,3.0,0.8877486,0.0
1542.9166,511.73062,1804.2817,813.05865,4.0,0.52078533,0.0
105.20601,265.43103,290.98486,650.2035,9.0,0.473348,0.0
1368.5947,669.88763,1761.7612,1070.287,15.0,0.68653655,0.0
1277.1436,145.1223,1455.1204,628.18536,1.0,0.86171556,0.0
516.8078,39.5052,621.22833,331.22626,17.0,0.6079642,0.0
1105.5259,92.45915,1245.7107,413.68518,16.0,0.6243079,0.0
1294.657,653.19226,1410.2952,930.74976,18.0,0.78890973,26.0
