xmin,ymin,xmax,ymax,id,conf,class
325.93295,168.48386,515.3734,501.72754,2.0,0.24572526,0.0
1082.8882,382.53735,1409.289,961.3538,3.0,0.85034955,0.0
43.08759,267.12537,282.9911,675.71515,9.0,0.2362187,0.0
1153.8105,773.44885,1510.6296,1076.1965,15.0,0.6142308,0.0
1193.8165,213.02759,1353.5605,436.76508,1.0,0.52099395,0.0
510.22623,37.219406,616.53143,331.4506,17.0,0.7109214,0.0
1101.9703,104.97443,1230.5026,364.13687,16.0,0.25810763,0.0
1308.4686,526.67334,1402.8859,778.6621,18.0,0.4222332,26.0
