xmin,ymin,xmax,ymax,id,conf,class
334.24634,168.21065,507.55634,518.86957,2.0,0.40927932,0.0
1041.0486,402.48328,1359.0304,1021.6235,3.0,0.83921397,0.0
65.67696,269.74213,285.49335,676.7953,9.0,0.2839101,0.0
1248.463,708.1202,1625.8693,1070.8079,15.0,0.52221245,0.0
1237.924,200.87924,1427.7257,566.1176,1.0,0.7052649,0.0
510.4364,37.994717,615.98114,331.11966,17.0,0.6860074,0.0
1102.0775,102.227486,1230.7535,371.39835,16.0,0.42723277,0.0
1299.0242,534.60144,1403.7592,781.99243,18.0,0.6638397,26.0
